id,date,ligne,four,probleme,equipement,famille,duree_min,source,famille_norm,equipement_norm,famille_affichage,equipement_affichage
1788,2024-08-20,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°2,20.0,import_2024,section n°2,rippeur,Section n°2,rippeur
1789,2024-08-20,L13,Four 1,Serrage adapteur,adapteur,Section n°5,15.0,import_2024,section n°5,adapteur,Section n°5,adapteur
1790,2024-08-20,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°2,40.0,import_2024,section n°2,rippeur,Section n°2,rippeur
1791,2024-08-21,L13,Four 1,Arret de machine a cause arret scoop,Scoop,machine,150.0,import_2024,machine,scoop,Machine,scoop
1792,2024-08-21,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°8,30.0,import_2024,section n°8,rippeur,Section n°8,rippeur
1793,2024-08-21,L13,Four 1,Plusier arret a cause variation mvt support entennoir,entonnoir,Section n°2,75.0,import_2024,section n°2,entonnoir,Section n°2,entonnoir
1794,2024-08-22,L13,Four 1,Réglage mécanisme téte compression,compression,Section n°1,60.0,import_2024,section n°1,compression,Section n°1,compression
1795,2024-08-22,L13,Four 1,Pour faciliter le travail,faciliter le travail,Section n°2,45.0,import_2024,section n°2,faciliter le travail,Section n°2,faciliter le travail
1796,2024-08-22,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°1,30.0,import_2024,section n°1,rippeur,Section n°1,rippeur
1797,2024-08-23,L13,Four 1,Serrage adapteur poincon,Poincon,Section n°1,10.0,import_2024,section n°1,poincon,Section n°1,poincon
1798,2024-08-23,L13,Four 1,Mise a niveau bras de transfert,bras de transfert,Section n°1,15.0,import_2024,section n°1,bras de transfert,Section n°1,bras de transfert
1799,2024-08-23,L13,Four 1,Support téte de gonflage,gonflage,Section n°2,15.0,import_2024,section n°2,gonflage,Section n°2,gonflage
1800,2024-08-24,L13,Four 1,Mise a niveau bras de transfert,bras de transfert,Section n°2,15.0,import_2024,section n°2,bras de transfert,Section n°2,bras de transfert
1801,2024-08-25,L13,Four 1,Changement bras de transfert,bras de transfert,Section n°2,45.0,import_2024,section n°2,bras de transfert,Section n°2,bras de transfert
1802,2024-08-25,L13,Four 1,Réglage verti-flow,verti-flow,Section n°9,30.0,import_2024,section n°9,verti-flow,Section n°9,verti-flow
1803,2024-08-25,L13,Four 1,Mauvaise support de compression,compression,Section n°10,35.0,import_2024,section n°10,compression,Section n°10,compression
1804,2024-08-25,L13,Four 1,Changement rippeur,rippeur,Section n°6,30.0,import_2024,section n°6,rippeur,Section n°6,rippeur
1805,2024-08-25,L13,Four 1,Changement rippeur,rippeur,Section n°1,15.0,import_2024,section n°1,rippeur,Section n°1,rippeur
1806,2024-08-25,L13,Four 1,Changement rippeur,rippeur,Section n°6,60.0,import_2024,section n°6,rippeur,Section n°6,rippeur
1807,2024-08-25,L13,Four 1,Changement rippeur,rippeur,Section n°9,90.0,import_2024,section n°9,rippeur,Section n°9,rippeur
1808,2024-08-26,L13,Four 1,Arret machine pour changement rondelle,rondelle,machine,30.0,import_2024,machine,rondelle,Machine,rondelle
1809,2024-08-26,L13,Four 1,Changement bras de transfert,bras de transfert,Section n°2,60.0,import_2024,section n°2,bras de transfert,Section n°2,bras de transfert
1810,2024-08-26,L13,Four 1,Changement bras de transfert,bras de transfert,Section n°1,30.0,import_2024,section n°1,bras de transfert,Section n°1,bras de transfert
1811,2024-08-26,L13,Four 1,Changement rippeur,rippeur,Section n°9,30.0,import_2024,section n°9,rippeur,Section n°9,rippeur
1812,2024-08-27,L13,Four 1,Réglage bras de transfert,bras de transfert,Section n°7,20.0,import_2024,section n°7,bras de transfert,Section n°7,bras de transfert
1813,2024-08-27,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°1,15.0,import_2024,section n°1,rippeur,Section n°1,rippeur
1814,2024-08-27,L13,Four 1,Changement vis cartouche noyau,noyau,Section n°5,20.0,import_2024,section n°5,noyau,Section n°5,noyau
1815,2024-08-27,L13,Four 1,Montage tube du refroidissement coté Eb,tube de refroidissement,Section n°5,25.0,import_2024,section n°5,tube de refroidissement,Section n°5,tube de refroidissement
